source,source_url,jurisdiction,level,parent_title,node_title,normalized_title,node_type,branch,suggested_saudi_domain,suggested_hakeem_issue_path,mapping_type,confidence,needs_human_review,evidence_url,evidence_selector,evidence_snippet
Egyptian Legal Encyclopedia,seed://egypt_moj_structural_seed,EG,0,,الموسوعة القانونية المصرية,الموسوعه القانونيه المصريه,encyclopedia_root,,الأنظمة واللوائح,الأنظمة واللوائح > التشريعات > الموسوعة القانونية المصرية,structural_seed,0.9,True,seed://egypt_moj_structural_seed,seed,الموسوعة القانونية المصرية
Egyptian Legal Encyclopedia,https://eg-pp.com/TAShSearch,EG,1,الموسوعة القانونية المصرية,موسوعة التشريعات,موسوعه التشريعات,encyclopedia_branch,موسوعة التشريعات,الأنظمة واللوائح,الأنظمة واللوائح > التشريعات > موسوعة التشريعات,structural_seed,0.9,True,https://eg-pp.com/TAShSearch,public_index,موسوعة التشريعات
Egyptian Legal Encyclopedia,https://eg-pp.com/TAShSearch,EG,2,موسوعة التشريعات,القانون المدني,القانون المدني,legislation_category,موسوعة التشريعات,الأنظمة واللوائح,الأنظمة واللوائح > التشريعات > القانون المدني,structural_seed,0.6,True,https://eg-pp.com/TAShSearch,seed,القانون المدني
Egyptian Legal Encyclopedia,https://eg-pp.com/TAShSearch,EG,2,موسوعة التشريعات,قانون العقوبات,قانون العقوبات,legislation_category,موسوعة التشريعات,الأنظمة واللوائح,الأنظمة واللوائح > التشريعات > قانون العقوبات,structural_seed,0.6,True,https://eg-pp.com/TAShSearch,seed,قانون العقوبات
Egyptian Legal Encyclopedia,https://eg-pp.com/TAShSearch,EG,2,موسوعة التشريعات,قانون المرافعات المدنية والتجارية,قانون المرافعات المدنيه والتجاريه,legislation_category,موسوعة التشريعات,الأنظمة واللوائح,الأنظمة واللوائح > التشريعات > قانون المرافعات المدنية والتجارية,structural_seed,0.6,True,https://eg-pp.com/TAShSearch,seed,قانون المرافعات المدنية والتجارية
Egyptian Legal Encyclopedia,https://eg-pp.com/TAShSearch,EG,2,موسوعة التشريعات,قانون الإجراءات الجنائية,قانون الاجراءات الجناييه,procedural_issue,موسوعة التشريعات,الأنظمة واللوائح,الأنظمة واللوائح > التشريعات > قانون الإجراءات الجنائية,structural_seed,0.75,True,https://eg-pp.com/TAShSearch,seed,قانون الإجراءات الجنائية
Egyptian Legal Encyclopedia,https://eg-pp.com/TAShSearch,EG,2,موسوعة التشريعات,قانون الأحوال الشخصية,قانون الاحوال الشخصيه,legislation_category,موسوعة التشريعات,الأنظمة واللوائح,الأنظمة واللوائح > التشريعات > قانون الأحوال الشخصية,structural_seed,0.6,True,https://eg-pp.com/TAShSearch,seed,قانون الأحوال الشخصية
Egyptian Legal Encyclopedia,https://eg-pp.com/TAShSearch,EG,2,موسوعة التشريعات,قانون العمل,قانون العمل,labor_issue,موسوعة التشريعات,نظام العمل,نظام العمل > المنازعات العمالية > قانون العمل,structural_seed,0.75,True,https://eg-pp.com/TAShSearch,seed,قانون العمل
Egyptian Legal Encyclopedia,https://eg-pp.com/TAShSearch,EG,2,موسوعة التشريعات,اللوائح والقرارات الجمهورية,اللوايح والقرارات الجمهوريه,legislation_category,موسوعة التشريعات,الأنظمة واللوائح,الأنظمة واللوائح > التشريعات > اللوائح والقرارات الجمهورية,structural_seed,0.6,True,https://eg-pp.com/TAShSearch,seed,اللوائح والقرارات الجمهورية
Egyptian Legal Encyclopedia,https://w.emj-eg.com/,EG,1,الموسوعة القانونية المصرية,موسوعة الأحكام,موسوعه الاحكام,encyclopedia_branch,موسوعة الأحكام,السوابق والمبادئ القضائية,السوابق والمبادئ القضائية > الأحكام > موسوعة الأحكام,structural_seed,0.9,True,https://w.emj-eg.com/,public_index,موسوعة الأحكام
Egyptian Legal Encyclopedia,https://w.emj-eg.com/AhkamT/Index?id=1,EG,2,موسوعة الأحكام,أحكام النقض المدني,احكام النقض المدني,judgment_category,موسوعة الأحكام,السوابق والمبادئ القضائية,السوابق والمبادئ القضائية > الأحكام > أحكام النقض المدني,structural_seed,0.9,True,https://w.emj-eg.com/AhkamT/Index?id=1,public_index,أحكام النقض المدني
Egyptian Legal Encyclopedia,https://w.emj-eg.com/AhkamT/Index?id=1,EG,3,أحكام النقض المدني,مبادئ النقض المدني,مبادي النقض المدني,judgment_category,موسوعة الأحكام,السوابق والمبادئ القضائية,السوابق والمبادئ القضائية > الأحكام > مبادئ النقض المدني,structural_seed,0.6,True,https://w.emj-eg.com/AhkamT/Index?id=1,seed,مبادئ النقض المدني
Egyptian Legal Encyclopedia,https://w.emj-eg.com/AhkamT/Index?id=1,EG,3,أحكام النقض المدني,نماذج أحكام مدنية,نماذج احكام مدنيه,judgment_category,موسوعة الأحكام,السوابق والمبادئ القضائية,المعاملات المدنية > التسبيب والحيثيات > نماذج أحكام مدنية,structural_seed,0.6,True,https://w.emj-eg.com/AhkamT/Index?id=1,seed,نماذج أحكام مدنية
Egyptian Legal Encyclopedia,https://w.emj-eg.com/AhkamT/Index?id=2,EG,2,موسوعة الأحكام,أحكام النقض الجنائي,احكام النقض الجنايي,judgment_category,موسوعة الأحكام,السوابق والمبادئ القضائية,السوابق والمبادئ القضائية > الأحكام > أحكام النقض الجنائي,structural_seed,0.9,True,https://w.emj-eg.com/AhkamT/Index?id=2,public_index,أحكام النقض الجنائي
Egyptian Legal Encyclopedia,https://w.emj-eg.com/AhkamT/Index?id=2,EG,3,أحكام النقض الجنائي,مبادئ النقض الجنائي,مبادي النقض الجنايي,judgment_category,موسوعة الأحكام,السوابق والمبادئ القضائية,السوابق والمبادئ القضائية > الأحكام > مبادئ النقض الجنائي,structural_seed,0.6,True,https://w.emj-eg.com/AhkamT/Index?id=2,seed,مبادئ النقض الجنائي
Egyptian Legal Encyclopedia,https://w.emj-eg.com/AhkamT/Index?id=2,EG,3,أحكام النقض الجنائي,نماذج أحكام جنائية,نماذج احكام جناييه,judgment_category,موسوعة الأحكام,السوابق والمبادئ القضائية,الجزائي > التسبيب والحيثيات > نماذج أحكام جنائية,structural_seed,0.6,True,https://w.emj-eg.com/AhkamT/Index?id=2,seed,نماذج أحكام جنائية
Egyptian Legal Encyclopedia,https://w.emj-eg.com/AhkamT/Index?id=4,EG,2,موسوعة الأحكام,أحكام الدستورية العليا,احكام الدستوريه العليا,judgment_category,موسوعة الأحكام,السوابق والمبادئ القضائية,السوابق والمبادئ القضائية > الأحكام > أحكام الدستورية العليا,structural_seed,0.9,True,https://w.emj-eg.com/AhkamT/Index?id=4,public_index,أحكام الدستورية العليا
Egyptian Legal Encyclopedia,https://w.emj-eg.com/AhkamT/Index?id=6,EG,2,موسوعة الأحكام,المحكمة الإدارية العليا,المحكمه الاداريه العليا,administrative_issue,موسوعة الأحكام,الإداري,الإداري > القضاء الإداري > المحكمة الإدارية العليا,structural_seed,0.75,True,https://w.emj-eg.com/AhkamT/Index?id=6,public_index,المحكمة الإدارية العليا
Egyptian Legal Encyclopedia,https://w.emj-eg.com/AhkamT/Index?id=7,EG,2,موسوعة الأحكام,محكمة القضاء الإداري,محكمه القضاء الاداري,administrative_issue,موسوعة الأحكام,الإداري,الإداري > القضاء الإداري > محكمة القضاء الإداري,structural_seed,0.75,True,https://w.emj-eg.com/AhkamT/Index?id=7,public_index,محكمة القضاء الإداري
Egyptian Legal Encyclopedia,https://w.emj-eg.com/,EG,2,موسوعة الأحكام,فتاوى مجلس الدولة,فتاوي مجلس الدوله,administrative_issue,موسوعة الأحكام,الإداري / المنازعات الحكومية,الإداري > الفتاوى > فتاوى مجلس الدولة,structural_seed,0.9,True,https://w.emj-eg.com/,seed,فتاوى مجلس الدولة
Egyptian Legal Encyclopedia,https://w.emj-eg.com/,EG,2,موسوعة الأحكام,الحيثيات,الحيثيات,reasoning_template,موسوعة الأحكام,المعاملات المدنية / المرافعات,المعاملات المدنية > التسبيب والحيثيات > الحيثيات,structural_seed,0.75,True,https://w.emj-eg.com/,seed,الحيثيات
Egyptian Legal Encyclopedia,https://w.emj-eg.com/,EG,3,الحيثيات,حيثيات مدنية,حيثيات مدنيه,reasoning_template,موسوعة الأحكام,المعاملات المدنية / المرافعات,المعاملات المدنية > التسبيب والحيثيات > حيثيات مدنية,structural_seed,0.9,True,https://w.emj-eg.com/,seed,حيثيات مدنية
Egyptian Legal Encyclopedia,https://w.emj-eg.com/,EG,3,الحيثيات,حيثيات جنائية,حيثيات جناييه,reasoning_template,موسوعة الأحكام,الجزائي / الإجراءات الجزائية,الجزائي > التسبيب والحيثيات > حيثيات جنائية,structural_seed,0.9,True,https://w.emj-eg.com/,seed,حيثيات جنائية
Egyptian Legal Encyclopedia,https://w.emj-eg.com/,EG,3,الحيثيات,حيثيات الأسرة,حيثيات الاسره,family_issue,موسوعة الأحكام,الأحوال الشخصية,الأحوال الشخصية > التسبيب والحيثيات > حيثيات الأسرة,structural_seed,0.75,True,https://w.emj-eg.com/,seed,حيثيات الأسرة
Egyptian Legal Encyclopedia,https://w.emj-eg.com/,EG,3,الحيثيات,حيثيات العمل,حيثيات العمل,labor_issue,موسوعة الأحكام,نظام العمل,نظام العمل > التسبيب والحيثيات > حيثيات العمل,structural_seed,0.75,True,https://w.emj-eg.com/,seed,حيثيات العمل
